"artist_title"	"year"	"keep"	"rank"	"votes"	"artist"	"song"	"filename"	"source"
"Best B4 - Ma tahan Sind. Sa vajad Mind "	1996	"TRUE"	40	97	"Best B4"	"Ma tahan Sind. Sa vajad Mind "	"lyrics-best_b4-ma_tahan_sind_sa_vajad_mind_"	1
"Best B4 - Must Ja Valge "	1997	"TRUE"	6	737	"Best B4"	"Must Ja Valge "	"lyrics-best_b4-must_ja_valge"	1
"Best B4 - Sinu Tundeid Ei Vaja "	1996	"TRUE"	29	160	"Best B4"	"Sinu Tundeid Ei Vaja "	"lyrics-best_b4-sinu_tundeid_ei_vaja"	1
"Birgit Õigemeel - 365 Days "	2008	"TRUE"	31	177	"Birgit Õigemeel"	"365 Days "	"lyrics-birgit_oigemeel-365_days"	1
"Birgit Õigemeel - Et uus saaks alguse "	2013	"TRUE"	10	266	"Birgit Õigemeel"	"Et uus saaks alguse "	"lyrics-birgit_oigemeel-et_uus_saaks_alguse"	1
"Birgit Õigemeel - Homme "	2008	"TRUE"	36	165	"Birgit Õigemeel"	"Homme "	"lyrics-birgit_oigemeel-homme"	1
"Birgit Õigemeel - Ise "	2008	"TRUE"	28	186	"Birgit Õigemeel"	"Ise "	"lyrics-birgit_oigemeel-ise"	1
"Birgit Õigemeel - Kas Tead Mida Tähendab "	2007	"TRUE"	2	1584	"Birgit Õigemeel"	"Kas Tead Mida Tähendab "	"lyrics-birgit_oigemeel-kas_tead_mida_tahendab"	1
"Birgit Õigemeel - Moonduja "	2009	"TRUE"	3	535	"Birgit Õigemeel"	"Moonduja "	"lyrics-birgit_oigemeel-moonduja"	1
"Birgit Õigemeel - See Öö "	2009	"TRUE"	14	249	"Birgit Õigemeel"	"See Öö "	"lyrics-birgit_oigemeel-see_oo"	1
"Bläck Rokit - Itimees "	1997	"TRUE"	16	296	"Bläck Rokit"	"Itimees "	"lyrics-black_rokit-itimees"	1
"Bläck Rokit - Mu Hobune On Tilluke "	1996	"TRUE"	24	229	"Bläck Rokit"	"Mu Hobune On Tilluke "	"lyrics-black_rokit-mu_hobune_on_tilluke"	1
"Bläck Rokit - Vaata Mind "	1996	"TRUE"	16	320	"Bläck Rokit"	"Vaata Mind "	"lyrics-black_rokit-vaata_mind_toeline_mees_"	1
"Black Velvet - 17. "	1997	"TRUE"	1	1923	"Black Velvet"	17	"lyrics-black_velvet-17"	1
"Black Velvet - Jennifer "	1998	"TRUE"	14	209	"Black Velvet"	"Jennifer "	"lyrics-black_velvet-jennifer"	1
"Black Velvet - King Kong Ameerikas "	1999	"TRUE"	24	119	"Black Velvet"	"King Kong Ameerikas "	"lyrics-black_velvet-king_kong_ameerikas"	1
"Black Velvet - Kingitus "	1999	"TRUE"	15	319	"Black Velvet"	"Kingitus "	"lyrics-black_velvet-kingitus"	1
"Black Velvet - Mängi Mulle Mozartit "	1998	"TRUE"	23	114	"Black Velvet"	"Mängi Mulle Mozartit "	"lyrics-black_velvet-mangi_mulle_mozartit"	1
"Black Velvet - Öö Silmad "	1997	"TRUE"	11	347	"Black Velvet"	"Öö Silmad "	"lyrics-black_velvet-oo_silmad"	1
"Black Velvet - Senjoriita "	1998	"TRUE"	17	183	"Black Velvet"	"Senjoriita "	"lyrics-black_velvet-senjoriita"	1
"Blacky - Ära Piina Mind "	1999	"TRUE"	7	581	"Blacky"	"Ära Piina Mind "	"lyrics-blacky-ara_piina_mind"	1
"Blacky - Ingel "	2006	"TRUE"	30	211	"Blacky"	"Ingel "	"lyrics-blacky-ingel"	1
"Blacky - Segased Lood "	2006	"TRUE"	35	185	"Blacky"	"Segased Lood "	"lyrics-blacky-segased_lood"	1
"Blacky - Veidi "	2002	"TRUE"	25	204	"Blacky"	"Veidi "	"lyrics-blacky-veidi"	1
"Blind - Astronaut "	1998	"TRUE"	26	107	"Blind"	"Astronaut "	"lyrics-blind-astronaut"	1
"Blind, Blacky & Tanel Padar - Astronaut "	2004	"TRUE"	40	74	"Blind, Blacky & Tanel Padar"	"Astronaut "	"lyrics-blind-astronaut"	1
"Blind - Dum Dum "	1999	"TRUE"	33	71	"Blind"	"Dum Dum "	"lyrics-blind-dum_dum"	1
"Blind - Emmanuelle "	2002	"TRUE"	10	424	"Blind"	"Emmanuelle "	"lyrics-blind-emmanuelle"	1
"Blind - Mary Jane "	2000	"TRUE"	15	256	"Blind"	"Mary Jane "	"lyrics-blind-mary-jane"	1
"Blind - Voyage Voyage "	2000	"TRUE"	21	189	"Blind"	"Voyage Voyage "	"lyrics-blind-voyage_voyage"	1
"Blue Lagoon - Take You to Paris "	2001	"TRUE"	21	100	"Blue Lagoon"	"Take You to Paris "	"lyrics-blue_lagoon-take_you_to_paris_radio_"	1
"Brides In Bloom - Tuleb Ette "	2007	"TRUE"	35	191	"Brides In Bloom"	"Tuleb Ette "	"lyrics-brides_in_bloom-tuleb_ette"	1
"Trinity & Caater - The Queen of Night "	2003	"TRUE"	6	912	"Trinity & Caater"	"The Queen of Night "	"lyrics-caater-queen_of_the_night"	1
"Chalice - Harald ja Matilda "	2012	"TRUE"	19	105	"Chalice"	"Harald ja Matilda "	"lyrics-chalice-harald_ja_matilda"	1
"Chalice - Laula, vanaema, laula "	2003	"TRUE"	29	189	"Chalice"	"Laula, vanaema, laula "	"lyrics-chalice-laula_vanaema_laula"	1
"Chalice - Minu inimesed "	2007	"TRUE"	13	540	"Chalice"	"Minu inimesed "	"lyrics-chalice-minu_inimesed"	1
"Chalice - Mulle meeldib see "	2003	"TRUE"	9	533	"Chalice"	"Mulle meeldib see "	"lyrics-chalice-mulle_meeldib_see"	1
"Chupacabra - Tere Kerttu "	2003	"TRUE"	27	200	"Chupacabra"	"Tere Kerttu "	"lyrics-chupacabra-tere_kertu"	1
"Claire's Birthday - Ladies Love Me "	1999	"TRUE"	35	56	"Claire's Birthday"	"Ladies Love Me "	"lyrics-claire_s_birthday-ladies_love_me"	1
"Claire's Birthday - Venus "	2000	"TRUE"	7	466	"Claire's Birthday"	"Venus "	"lyrics-claire_s_birthday-venus"	1
"Click OK - Lase Lõdvaks "	1997	"TRUE"	37	87	"Click OK"	"Lase Lõdvaks "	"lyrics-click_ok-lase_lodvaks"	1
"Click OO - Öö On Kuum "	1997	"TRUE"	14	320	"Click OO"	"Öö On Kuum "	"lyrics-click_ok-oo_on_kuum"	1
"Code One - Aeg Ei Peatu "	2002	"TRUE"	30	184	"Code One"	"Aeg Ei Peatu "	"lyrics-code_one-aeg_ei_peatu"	1
"Code One - Nüüd Võin Taas "	1997	"TRUE"	8	707	"Code One"	"Nüüd Võin Taas "	"lyrics-code_one-nuud_voin_taas"	1
"Code One - On Küll Hilja "	1995	"TRUE"	5	553	"Code One"	"On Küll Hilja "	"lyrics-code_one-on_kull_hilja"	1
